Instance,Variant,Best Makespan,Scenario
ft06,KK,53,4
ft06,SPT,52,4
ft06,LPT,53,4
ft06,SRPT,53,4
ft06,LRPT,52,4
ft06,MIXED,54,4
ft06,RAND,52,4
ft06,TS,52,4
ft10,KK,1008,4
ft10,SPT,1017,4
ft10,LPT,1064,4
ft10,SRPT,1078,4
ft10,LRPT,1000,4
ft10,MIXED,1040,4
ft10,RAND,1109,4
ft10,TS,1087,4
ft20,KK,1301,4
ft20,SPT,1297,4
ft20,LPT,1292,4
ft20,SRPT,1352,4
ft20,LRPT,1285,4
ft20,MIXED,1307,4
ft20,RAND,1319,4
ft20,TS,1417,4
la01,KK,670,4
la01,SPT,676,4
la01,LPT,654,4
la01,SRPT,654,4
la01,LRPT,654,4
la01,MIXED,654,4
la01,RAND,660,4
la01,TS,662,4
la10,KK,943,4
la10,SPT,943,4
la10,LPT,943,4
la10,SRPT,943,4
la10,LRPT,943,4
la10,MIXED,943,4
la10,RAND,943,4
la10,TS,943,4
la20,KK,944,4
la20,SPT,953,4
la20,LPT,939,4
la20,SRPT,954,4
la20,LRPT,992,4
la20,MIXED,910,4
la20,RAND,935,4
la20,TS,949,4
la30,KK,1492,4
la30,SPT,1491,4
la30,LPT,1599,4
la30,SRPT,1482,4
la30,LRPT,1542,4
la30,MIXED,1436,4
la30,RAND,1566,4
la30,TS,1607,4
