Instance,Variant,Best Makespan,Scenario
ft06,KK,58,1
ft06,SPT,58,1
ft06,LPT,58,1
ft06,SRPT,58,1
ft06,LRPT,57,1
ft06,MIXED,57,1
ft06,RAND,59,1
ft06,TS,55,1
ft10,KK,1022,1
ft10,SPT,1006,1
ft10,LPT,1086,1
ft10,SRPT,1058,1
ft10,LRPT,1071,1
ft10,MIXED,1072,1
ft10,RAND,1027,1
ft10,TS,1100,1
ft20,KK,1393,1
ft20,SPT,1310,1
ft20,LPT,1334,1
ft20,SRPT,1324,1
ft20,LRPT,1323,1
ft20,MIXED,1251,1
ft20,RAND,1379,1
ft20,TS,1398,1
la01,KK,678,1
la01,SPT,699,1
la01,LPT,666,1
la01,SRPT,676,1
la01,LRPT,666,1
la01,MIXED,666,1
la01,RAND,688,1
la01,TS,711,1
la10,KK,962,1
la10,SPT,962,1
la10,LPT,962,1
la10,SRPT,962,1
la10,LRPT,962,1
la10,MIXED,962,1
la10,RAND,962,1
la10,TS,962,1
la20,KK,924,1
la20,SPT,964,1
la20,LPT,1044,1
la20,SRPT,988,1
la20,LRPT,970,1
la20,MIXED,949,1
la20,RAND,1006,1
la20,TS,1073,1
la30,KK,1511,1
la30,SPT,1526,1
la30,LPT,1503,1
la30,SRPT,1526,1
la30,LRPT,1531,1
la30,MIXED,1523,1
la30,RAND,1486,1
la30,TS,1592,1
