Instance,Variant,Best Makespan,Scenario
ft06,KK,50,3
ft06,SPT,50,3
ft06,LPT,50,3
ft06,SRPT,53,3
ft06,LRPT,51,3
ft06,MIXED,51,3
ft06,RAND,51,3
ft06,TS,50,3
ft10,KK,1008,3
ft10,SPT,962,3
ft10,LPT,1037,3
ft10,SRPT,1011,3
ft10,LRPT,1090,3
ft10,MIXED,1008,3
ft10,RAND,1077,3
ft10,TS,1047,3
ft20,KK,1333,3
ft20,SPT,1316,3
ft20,LPT,1353,3
ft20,SRPT,1380,3
ft20,LRPT,1267,3
ft20,MIXED,1296,3
ft20,RAND,1244,3
ft20,TS,1446,3
la01,KK,652,3
la01,SPT,668,3
la01,LPT,666,3
la01,SRPT,684,3
la01,LRPT,657,3
la01,MIXED,657,3
la01,RAND,652,3
la01,TS,676,3
la10,KK,965,3
la10,SPT,965,3
la10,LPT,965,3
la10,SRPT,965,3
la10,LRPT,965,3
la10,MIXED,965,3
la10,RAND,965,3
la10,TS,965,3
la20,KK,1022,3
la20,SPT,966,3
la20,LPT,1034,3
la20,SRPT,1038,3
la20,LRPT,992,3
la20,MIXED,937,3
la20,RAND,931,3
la20,TS,1033,3
la30,KK,1553,3
la30,SPT,1549,3
la30,LPT,1570,3
la30,SRPT,1512,3
la30,LRPT,1492,3
la30,MIXED,1520,3
la30,RAND,1510,3
la30,TS,1655,3
