Variant,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Static
KK,935.4285714285714,931.7142857142857,940.4285714285714,915.8571428571429,947.4285714285714
LPT,950.4285714285714,950.0,953.5714285714286,934.8571428571429,929.5714285714286
LRPT,940.0,928.7142857142857,930.5714285714286,924.0,955.8571428571429
MIXED,925.7142857142857,952.5714285714286,919.1428571428571,906.2857142857143,934.2857142857143
RAND,943.8571428571429,934.2857142857143,918.5714285714286,940.5714285714286,928.7142857142857
SPT,932.1428571428571,940.2857142857143,925.1428571428571,918.4285714285714,940.8571428571429
SRPT,941.7142857142857,940.2857142857143,949.0,930.8571428571429,942.7142857142857
TS,984.4285714285714,1008.0,981.7142857142857,959.5714285714286,997.8571428571429
