Instance,Scenario,GA,GAKK,GALPT,GALRPT,GAMIX,GAMIX_no_GAKK,GAMIX_no_GALPT,GAMIX_no_GALRPT,GAMIX_no_GASPT,GAMIX_no_GASRPT,GAMIX_no_LPT_SRPT,GASPT,GASRPT
ft06,Breakdown,0.20000000000000284,-1.2999999999999972,-0.7999999999999972,-0.6000000000000014,0.0,-0.5,-0.19999999999999574,-1.1000000000000014,-0.19999999999999574,-0.10000000000000142,-0.7999999999999972,-0.7999999999999972,-0.10000000000000142
ft06,Mixed,0.8000000000000043,1.2000000000000028,1.2000000000000028,1.7000000000000028,0.0,-0.10000000000000142,0.8000000000000043,1.1000000000000014,0.8000000000000043,1.7000000000000028,1.6000000000000014,1.0,1.1000000000000014
ft06,NewJob,-0.6000000000000014,0.20000000000000284,-0.29999999999999716,-0.3999999999999986,0.0,0.10000000000000142,0.10000000000000142,0.5,0.0,-0.3999999999999986,-0.6000000000000014,-0.20000000000000284,-0.7000000000000028
ft06,Static,0.6000000000000014,1.1000000000000014,0.8999999999999986,0.3999999999999986,0.0,0.5,0.7000000000000028,0.20000000000000284,0.20000000000000284,0.0,0.20000000000000284,0.5,0.29999999999999716
ft06,TimeNoise,0.5,-0.6999999999999957,0.0,0.10000000000000142,0.0,0.4000000000000057,0.9000000000000057,-0.19999999999999574,0.4000000000000057,0.6000000000000014,0.20000000000000284,0.30000000000000426,0.7000000000000028
ft10,Breakdown,11.599999999999909,14.599999999999909,27.0,10.5,0.0,8.700000000000045,38.09999999999991,6.7000000000000455,44.700000000000045,28.90000000000009,10.0,9.099999999999909,28.5
ft10,Mixed,-1.8999999999998636,-3.3999999999998636,4.800000000000182,-28.5,0.0,33.600000000000136,-3.8999999999998636,-11.399999999999864,0.6000000000001364,11.900000000000091,-17.399999999999864,-25.699999999999818,16.90000000000009
ft10,NewJob,-6.099999999999909,13.799999999999955,-1.099999999999909,-8.599999999999909,0.0,15.200000000000045,-16.59999999999991,-17.59999999999991,9.700000000000045,-3.2000000000000455,-17.40000000000009,-2.5,5.7000000000000455
ft10,Static,-14.399999999999977,-11.299999999999955,-13.099999999999909,-13.299999999999955,0.0,-9.099999999999909,-10.0,-14.899999999999977,-4.199999999999932,-16.199999999999932,-3.199999999999932,-9.699999999999932,-13.299999999999955
ft10,TimeNoise,20.40000000000009,19.5,26.5,14.0,0.0,11.100000000000136,23.90000000000009,17.800000000000182,29.300000000000182,2.1000000000001364,39.5,17.800000000000182,10.600000000000136
