Algorithm,MeanDelta,CI95,N
GA,-0.8199999999999902,2.4221686986471274,35
GAKK,-0.7085714285714168,2.0891697827549756,35
GASPT,-0.3271428571428426,2.7068316325658,35
GASRPT,-2.677142857142847,2.012105290193219,35
GALRPT,-0.885714285714266,2.4305221031946322,35
GALPT,-0.5514285714285699,1.8089835638052787,35
