Algorithm,MeanDelta,CI95,N
GAMIX_no_GALRPT,-0.4657142857142776,3.7037027043693547,35
GAMIX_no_LPT_SRPT,0.6828571428571418,3.6251606659729747,35
GAMIX_no_GAKK,1.5085714285714509,3.462221562217298,35
GAMIX_no_GALPT,1.8371428571428543,4.302422089939566,35
GAMIX_no_GASRPT,2.100000000000011,3.293752803325071,35
GAMIX_no_GASPT,4.3428571428571585,4.488445568738632,35
